"id","name","access","builtin","description","createtime","updatetime"
"28bd68341b014df08973b6d0dbc259da","系统管理员","",True,"系统管理员","2018-08-10 15:41:02.116249","2018-08-10 15:41:02.116249"
"d793459dccde424e8d98c1a61a8eeb91","终端客户","",True,"终端客户，非代理商，非内部登录","2018-08-10 15:41:02.116249","2018-08-10 15:41:02.116249"
"e052bdd9ab584252bf939b4d5b3e35b0","代理商","",True,"代理商","2018-08-10 15:41:02.116249","2018-08-10 15:41:02.116249"
