"name","mtname","type","spread","commission","leverage","createtime","updatetime"
"标准组1:100","bonus\std\100L0r0c",1,0,0,"100","2018-08-14 16:13:03.898246","2018-08-14 16:13:03.898246"
"标准组1:50","bonus\std\50L0r0c",1,0,0,"50","2018-08-14 16:15:51.018393","2018-08-14 16:15:51.018393"
